         8	    0.000001299
        16	    0.000001342
        32	    0.000001378
        64	    0.000001285
       128	    0.000001328
       256	    0.000001416
       512	    0.000001502
      1024	    0.000001910
      2048	    0.000002055
      4096	    0.000002906
      8192	    0.000004647
     16384	    0.000006051
     32768	    0.000007958
     65536	    0.000011532
    131072	    0.000019493
    262144	    0.000035038
    524288	    0.000066152
   1048576	    0.000128314
   2097152	    0.000252898
   4194304	    0.000479627
   8388608	    0.001021519
  16777216	    0.002013705
  33554432	    0.004077833
  67108864	    0.007941477
 134217728	    0.018075020
 268435456	    0.035793166
 536870912	    0.072800767
1073741824	    0.147060535
